Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,SoTA,GA,Saves,Saves%,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Paulo, João",34,BRA,Santos,2020,3,Santos,Atlético Paranaense,55,2,1,1,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,4,Sport Recife,Santos,90,5,0,5,1.000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,5,Palmeiras,Santos,90,4,2,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,6,Santos,Flamengo,90,6,1,5,.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,7,Santos,Vasco da Gama,90,2,2,1,.500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,8,Ceará,Santos,90,6,0,6,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,9,Santos,Atlético Mineiro,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,10,Santos,São Paulo,90,6,2,4,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,11,Botafogo (RJ),Santos,90,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,12,Santos,Fortaleza,90,3,1,2,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,13,Goiás,Santos,90,4,2,2,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,14,Corinthians,Santos,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,15,Santos,Grêmio,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,16,Santos,Atlético Goianiense,90,1,1,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulo, João",34,BRA,Santos,2020,17,Coritiba,Santos,90,4,1,3,.750,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Paulo, João",34,BRA,Santos,2020,18,Fluminense,Santos,90,8,3,5,.625,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
