Name,#,Nation,Team,Year,Matchday,Team 1,Team 2,Min,Gls,Ast,PK,Pkatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKWon,PKCon
"Fabiano Alves, Bruno",3,BRA,São Paulo,2020,2,São Paulo,Fortaleza,90,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0
"Fabiano Alves, Bruno",3,BRA,São Paulo,2020,3,Vasco da Gama,São Paulo,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Fabiano Alves, Bruno",3,BRA,São Paulo,2020,4,São Paulo,Bahia,82,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0
"Fabiano Alves, Bruno",3,BRA,São Paulo,2020,6,São Paulo,Corinthians,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fabiano Alves, Bruno",3,BRA,São Paulo,2020,8,São Paulo,Fluminense,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
