Year,Matchday,T1,T2,FTG_T1,FTG_T2,FR,HTG_T1,HTG_T2,HTR,BP_T1,BP_T2,PA_T1,PA_T2,PA%_T1,PA%_T2,SonT_T1,SonT_T2,SonT%_T1,SonT%_T2,Sav_T1,Sav_T2,Sav%_T1,Sav%_T2,Fls_T1,Fls_T2,Crn_T1,Crn_T2,Crs_T1,Crs_T2,Tch_T1,Tch_T2,Tck_T1,Tck_T2,Int_T1,Int_T2,Arl_T1,Arl_T2,Clr_T1,Clr_T2,Off_T1,Off_T2,GK_T1,GK_T2,Thr_T1,Thr_T2,LB_T1,LB_T2,YC_T1,YC_T2,RC_T1,RC_T2,Std,Ref
2020,1,Fortaleza ,Atl Paranaense,0,2.0,A,0.0,2.0,A,0.43,0.57,291/343,422/471,0.85,0.9,3/10,5/13,0.3,0.38,3/5,3/3,0.6,1.0,12.0,7.0,3.0,4.0,16.0,8.0,455.0,590.0,7.0,8.0,9.0,5.0,8.0,9.0,6.0,13.0,1.0,1.0,6.0,8.0,13.0,16.0,55.0,55.0,3.0,2.0,1.0,0.0,Estádio Castelão,Braulio da Silva Machado
2020,1,Coritiba ,Internacional,0,1.0,A,0.0,0.0,D,0.36,0.64,137/189,270/329,0.72,0.82,0/1,4/8,0.0,0.5,3/4,0/0,0.75,,5.0,13.0,2.0,6.0,7.0,27.0,297.0,452.0,7.0,9.0,12.0,6.0,13.0,14.0,15.0,6.0,3.0,2.0,7.0,4.0,12.0,17.0,30.0,41.0,3.0,4.0,0.0,0.0,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo
2020,1,Sport Recife,Ceará,3,2.0,H,3.0,1.0,H,0.32,0.68,23/33,60/69,0.7,0.87,3/4,2/2,0.75,1.0,0/2,0/3,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,54.0,91.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,2.0,7.0,3.0,3.0,0.0,0.0,Estádio Adelmar da Costa Carvalho,Edina Alves Batista
2020,1,Botafogo,Bahia,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,Flamengo ,Atlético Mineiro,0,1.0,A,0.0,1.0,A,0.63,0.37,425/527,226/317,0.81,0.71,2/17,4/10,0.12,0.4,4/4,2/2,1.0,1.0,12.0,24.0,9.0,2.0,19.0,6.0,720.0,486.0,16.0,16.0,3.0,15.0,20.0,5.0,7.0,24.0,2.0,3.0,4.0,12.0,27.0,12.0,58.0,65.0,3.0,2.0,0.0,0.0,Estadio Jornalista Mário Filho,Raphael Claus
2020,1,Corinthians,Atl Goianiense,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,Santos ,Bragantino,1,1.0,D,0.0,0.0,D,0.54,0.46,362/444,303/375,0.82,0.81,4/10,6/18,0.4,0.33,5/6,3/4,0.83,0.75,10.0,19.0,4.0,2.0,20.0,19.0,625.0,562.0,18.0,17.0,14.0,14.0,12.0,15.0,17.0,14.0,4.0,2.0,12.0,8.0,17.0,19.0,58.0,50.0,0.0,1.0,0.0,0.0,Estádio Urbano Caldeira,Ricardo Marques Ribeiro
2020,1,Goiás,São Paulo,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,Grêmio ,Fluminense,1,0.0,H,1.0,0.0,H,0.52,0.48,395/486,363/444,0.81,0.82,4/15,4/10,0.27,0.4,4/4,3/4,1.0,0.75,24.0,16.0,6.0,3.0,18.0,15.0,680.0,654.0,14.0,15.0,16.0,23.0,25.0,17.0,18.0,24.0,2.0,1.0,6.0,7.0,28.0,16.0,50.0,55.0,2.0,3.0,0.0,0.0,Arena do Grêmio,Wilton Sampaio
2020,1,Palmeiras,Vasco,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
