Year,Matchday,T1,T2,FTG_T1,FTG_T2,FR,HTG_T1,HTG_T2,HTR,G_0_15_T1,G_16_30_T1,G_31_HT_T1,G_46_60_T1,G_61_75_T1,G_76_FT_T1,G_0_15_T2,G_16_30_T2,G_31_HT_T2,G_46_60_T2,G_61_75_T2,G_76_FT_T2,Form_T1,Form_T2,Coach_T1,Coach_T2,BP_T1,BP_T2,PA_T1,PA_T2,PA%_T1,PA%_T2,SonT_T1,SonT_T2,SonT%_T1,SonT%_T2,Sav_T1,Sav_T2,Sav%_T1,Sav%_T2,Fls_T1,Fls_T2,Crn_T1,Crn_T2,Crs_T1,Crs_T2,Tch_T1,Tch_T2,Tck_T1,Tck_T2,Int_T1,Int_T2,Arl_T1,Arl_T2,Clr_T1,Clr_T2,Off_T1,Off_T2,GK_T1,GK_T2,Thr_T1,Thr_T2,LB_T1,LB_T2,YC_T1,2YC_T1,RC_T1,YC_T2,2YC_T2,RC_T2,Std,Ref,Ass1,Ass2,4thRef
2020,1,Fortaleza,Atlético Paranaense,0,2,A,0,2,A,0,0,0,0,0,0,0,1,1,0,0,0,4-2-3-1,4-3-3,Rogério Ceni,Dorival Júnior,43%,57%,291/343,422/471,85%,90%,3/10,5/13,30%,38%,3/5,3/3,60%,100%,12,7,3,4,16,8,455,590,7,8,9,5,8,9,6,13,1,1,6,8,13,16,55,55,3,0,1,2,0,0,Estádio Castelão,Braulio da Silva Machado,Kleber Lucio Gil,Eder Alexandre,Luis César De Oliveira Magalhães
2020,1,Coritiba,Internacional,0,1,A,0,0,D,0,0,0,0,0,0,0,0,0,0,1,0,4-2-3-1,4-2-3-1,Eduardo Barroca,Eduardo Coudet,36%,64%,137/189,270/329,72%,82%,0/1,4/8,0%,50%,3/4,0/0,75%,%,5,13,2,6,7,27,297,452,7,9,12,6,13,14,15,6,3,2,7,4,12,17,30,41,3,0,0,4,0,0,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Thiago Henrique Neto Correa Farinha,Daniel do Espirito Santo Parro,Leonardo Sígari Zanon
2020,1,Sport Recife,Ceará,3,2,H,3,1,H,0,1,2,0,0,0,0,0,1,1,0,0,4-2-3-1,4-2-3-1,Daniel Paulista,Guto Ferreira,32%,68%,23/33,60/69,70%,87%,3/4,2/2,75%,100%,0/2,0/3,0%,0%,1,3,0,1,1,3,54,91,2,1,1,1,2,1,2,0,1,0,1,0,2,6,5,7,3,0,0,3,0,0,Estádio Adelmar da Costa Carvalho,Edina Alves Batista,Danilo Manis,Neuza Inês Back,Luiz Claudio Sobral
2020,1,Flamengo,Atlético Mineiro,0,1,A,0,1,A,0,0,0,0,0,0,0,1,0,0,0,0,4-2-3-1,3-5-2,Domènec Torrent,Jorge Sampaoli,63%,37%,425/527,226/317,81%,71%,2/17,4/10,12%,40%,4/4,2/2,100%,100%,12,24,9,2,19,6,720,486,16,16,3,15,20,5,7,24,2,3,4,12,27,12,58,65,3,0,0,2,0,0,Estadio Jornalista Mário Filho,Raphael Claus,Daniel Paulo Ziolli,Anderson Jose De Moraes Coelho,Rafael Martins de Sá
2020,1,Santos,Bragantino,1,1,D,0,0,D,0,0,0,0,1,0,0,0,0,0,0,1,4-3-3,4-2-3-1,Cuca,Felipe Conceição,54%,46%,362/444,303/375,82%,81%,4/10,6/18,40%,33%,5/6,3/4,83%,75%,10,19,4,2,20,19,625,562,18,17,14,14,12,15,17,14,4,2,12,8,17,19,58,50,0,0,0,1,0,0,Estádio Urbano Caldeira,Ricardo Marques Ribeiro,Felipe Alan Costa de Oliveira,Ricardo Junio de Souza,Adriano De Assis Miranda
2020,1,Grêmio,Fluminense,1,0,H,1,0,H,0,0,1,0,0,0,0,0,0,0,0,0,4-2-3-1,4-3-3,Renato Gaúcho,Odair Hellmann,52%,48%,395/486,363/444,81%,82%,4/15,4/10,27%,40%,4/4,3/4,100%,75%,24,16,6,3,18,15,680,654,14,15,16,23,25,17,18,24,2,1,6,7,28,16,50,55,2,0,0,3,0,0,Arena do Grêmio,Wilton Sampaio,Fabricio Vilarinho Da Silva,Bruno Raphael Pires,Anderson da Silveira Farias
2020,1,Botafogo (RJ),Bahia,1,2,A,0,1,A,0,0,0,0,0,1,0,0,1,0,0,1,RJ,4-4-2,Paulo Autuori,Mano Menezes,62%,39%,434/505,231/319,86%,72%,2/15,4/12,13%,33%,2/4,1/2,50%,50%,18,14,8,5,24,12,690,496,14,19,8,6,24,25,15,21,0,1,10,11,17,17,54,49,2,0,1,3,0,0,Estádio Nilton Santos,Savio Pereira,Daniel Henrique da Silva Andrade,Jose Reinaldo do Nascimento Júnior,João Ennio Sobral
2020,1,Corinthians,Atlético Goianiense,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,4-4-2,4-2-3-1,Dyego Rocha Coelho,Vágner Mancini,53%,47%,383/457,320/397,84%,81%,4/12,6/17,33%,35%,5/6,4/4,83%,100%,18,12,4,7,21,26,641,576,11,13,10,12,14,16,21,17,4,2,10,9,23,19,53,60,2,0,0,0,0,0,Arena Corinthians,Paulo Roberto Alves Júnior,Victor Imazu,Rafael Trombeta,Thiago Luis Scarascati
2020,2,Bragantino,Botafogo (RJ),1,1,D,1,0,H,1,0,0,0,0,0,0,0,0,0,1,0,4-2-3-1,RJ,Felipe Conceição,Paulo Autuori,55%,45%,490/553,374/451,89%,83%,8/23,3/9,35%,33%,2/3,7/8,66%,87%,13,8,11,3,29,16,739,623,15,9,17,8,7,11,11,26,1,1,8,13,18,15,40,49,3,0,0,1,0,0,Estádio Nabi Abi Chedid,André Luiz de Freitas Castro,Leone Carvalho,Cristhian Passos Sorence,Lucas Canetto Bellote
2020,2,Atlético Mineiro,Corinthians,3,2,H,0,2,A,0,0,0,2,1,0,1,1,0,0,0,0,3-5-2,4-2-3-1,Jorge Sampaoli,Tiago Nunes,56%,45%,425/516,321/423,82%,76%,13/25,5/7,52%,71%,2/5,10/13,40%,76%,19,11,8,4,30,11,716,617,17,10,16,17,14,15,7,29,3,1,3,11,25,15,52,69,0,0,0,1,0,0,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes,Luiz Claudio Regazzone,Thiago Rosa de Oliveira,Ronei Candido Alves
